,Unnamed: 0,name,id,class,mass,fall,year,reclat,reclong,massL
2949,3017,Siwa,23618,L5-6,36.0,Found,1994,28.5,25.5,1.0
2950,3018,Skiff,23622,H4,3540.0,Found,1966,49.25,-111.86667,1.0
2951,3019,Skookum,23623,"Iron, IVB",16000.0,Found,1905,63.91667,-139.33333,3.0
2952,3020,Slaton,23625,L4,1070.0,Found,1941,33.43333,-101.75,1.0
2953,3021,Sleeper Camp ,23627,L6,1250.0,Found,1962,-30.25,126.33333,1.0
2954,3022,Sligo,23644,H3.9,78.0,Found,1976,33.11861,-102.74056,1.0
2955,3023,Slobodka (of P. Partsch),23646,L6,950.0,Found,1838,55.0,35.0,1.0
2956,3024,Slovak,23647,H5,8220.0,Found,1962,34.65,-91.58333,1.0
2957,3025,Smara,23648,Eucrite-pmict,12870.0,Found,2000,26.68333,-11.73333,3.0
2958,3026,Smith Center,23649,L6,1585.0,Found,1937,39.83333,-99.01667,1.0
2959,3027,Smithland,23650,"Iron, IVA",5000.0,Found,1839,37.13333,-88.4,1.0
2960,3028,Smithonia,23651,"Iron, IIAB",69900.0,Found,1940,34.0,-83.16667,3.0
2961,3029,Smith's Mountain,23652,"Iron, IIIAB",5000.0,Found,1863,36.41667,-80.0,1.0
2962,3030,Smithville,23654,"Iron, IAB-MG",70500.0,Found,1840,35.98333,-85.85,3.0
2963,3031,Smokey Spring,57453,H4,254.0,Found,2011,40.95465,-118.49693,1.0
2964,3032,Smyer,23655,H6,3273.0,Found,1968,33.58333,-102.16667,1.0
2965,3033,Snake Bore,23656,H5,66.0,Found,1975,-31.1,138.26667,1.0
2966,3034,Snyder,23657,H3,16900.0,Found,1983,32.71667,-100.91667,3.0
2967,3035,Snyder Hill,23658,L5,1160.0,Found,1994,32.15833,-111.11333,1.0
2968,3036,Social Circle,23659,"Iron, IVA",99300.0,Found,1927,33.7,-83.7,3.0
2969,3037,Soledade,23662,"Iron, IAB-MG",68000.0,Found,1986,-29.05,-51.43333,3.0
2970,3038,Sombrerete,23664,"Iron, IAB-sHL",10000.0,Found,1958,23.63333,-103.66667,1.0
