,Unnamed: 0,Unnamed: 0.1,Volcano Name,Eruption Category,VEI,year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date,VEIsize
8483,8483,8497,Raoul Island,Confirmed Eruption,4.0,550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-29.27,-177.92,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8484,8484,8498,Taranaki,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,-39.3,174.07,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8485,8485,8499,Yasur,Confirmed Eruption,2.0,550,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-19.532,169.447,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8486,8486,8500,Chimborazo,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,-1.464,-78.815,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8487,8487,8501,Cotopaxi,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,-0.677,-78.436,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8488,8488,8502,Guagua Pichincha,Confirmed Eruption,2.0,550,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-0.171,-78.598,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8489,8489,8503,Arenal,Confirmed Eruption,4.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,10.463,-84.703,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,17.0
8490,8490,8504,Hekla,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.983,-19.666,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8491,8491,8505,Eyjafjallajokull,Confirmed Eruption,2.0,550,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.633,Lifetime (years) Unknown,550/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8492,8492,8506,Katla,Confirmed Eruption,2.0,540,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.083,Lifetime (years) Unknown,540/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8493,8493,8507,Ischia,Confirmed Eruption,2.0,540,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,40.73,13.897,Lifetime (years) Unknown,540/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8494,8494,8508,Merapi,Confirmed Eruption,2.0,540,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-7.54,110.446,Lifetime (years) Unknown,540/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8495,8495,8509,Kilauea,Confirmed Eruption,2.0,540,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,19.421,-155.287,Lifetime (years) Unknown,540/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
8496,8496,8510,Colima,Confirmed Eruption,2.0,540,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,19.514,-103.62,Lifetime (years) Unknown,540/1/1,End Year Unknown/End Month Unknown/End Day Unknown,5.0
