,Volcano Name,Eruption Category,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude,Lifetime (years),Start Date,End Date
9898,Campi Flegrei,Confirmed Eruption,VEI Unknown,-2580,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,40.827,14.139,,-2580/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9899,Galeras,Confirmed Eruption,2.0,-2580,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,1.22,-77.37,,-2580/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9900,Taupo,Confirmed Eruption,4.0,-2600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-38.82,176.0,,-2600/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9901,Zaozan [Zaosan],Confirmed Eruption,VEI Unknown,-2600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,38.144,140.44,,-2600/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9902,Adatarayama,Confirmed Eruption,3.0,-2600,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,37.647,140.281,,-2600/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9903,Aguilera,Confirmed Eruption,VEI Unknown,-2610,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-50.33,-73.75,,-2610/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9904,Sheveluch,Confirmed Eruption,5.0,-2620,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,,-2620/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9905,Unzendake,Confirmed Eruption,VEI Unknown,-2640,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,32.761,130.299,,-2640/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9906,Cotopaxi,Confirmed Eruption,5.0,-2640,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-0.677,-78.436,,-2640/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9907,Machin,Confirmed Eruption,VEI Unknown,-2650,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,4.487,-75.389,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9908,Tenerife,Confirmed Eruption,VEI Unknown,-2650,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,28.271,-16.641,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9909,Kirishimayama,Confirmed Eruption,4.0,-2650,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,31.934,130.862,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9910,Vulcano,Confirmed Eruption,3.0,-2650,1,1,Potassium-Argon,End Year Unknown,End Month Unknown,End Day Unknown,38.404,14.962,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9911,Koniuji,Confirmed Eruption,VEI Unknown,-2650,1,1,Ar/Ar,End Year Unknown,End Month Unknown,End Day Unknown,52.22,-175.13,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9912,Adams,Confirmed Eruption,2.0,-2650,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,46.206,-121.49,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9913,Avachinsky,Confirmed Eruption,VEI Unknown,-2650,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,53.256,158.836,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9914,Tolmachev Dol,Confirmed Eruption,4.0,-2650,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,52.63,157.58,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9915,Tokachidake,Confirmed Eruption,VEI Unknown,-2650,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,43.418,142.686,,-2650/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9916,Pelee,Confirmed Eruption,4.0,-2660,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,14.809,-61.165,,-2660/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9917,Brennisteinsfjoll,Confirmed Eruption,0.0,-2660,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,63.933,-21.783,,-2660/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9918,Udokan Plateau,Confirmed Eruption,VEI Unknown,-2670,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,56.28,117.77,,-2670/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9919,Harrat Ash Shaam,Confirmed Eruption,VEI Unknown,-2670,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,32.333,37.583,,-2670/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9920,Katla,Confirmed Eruption,VEI Unknown,-2680,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.633,-19.083,,-2680/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9921,Ata,Confirmed Eruption,5.0,-2690,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,31.22,130.57,,-2690/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9922,"Fournaise, Piton de la",Confirmed Eruption,5.0,-2700,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,-21.244,55.708,,-2700/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9923,Ischia,Confirmed Eruption,VEI Unknown,-2700,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,40.73,13.897,,-2700/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9924,Taranaki,Confirmed Eruption,VEI Unknown,-2700,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,-39.3,174.07,,-2700/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9925,Khangar,Confirmed Eruption,VEI Unknown,-2700,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,54.761,157.407,,-2700/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9926,Iwatesan,Confirmed Eruption,VEI Unknown,-2700,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,39.853,141.001,,-2700/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9927,Hachijojima,Confirmed Eruption,3.0,-2700,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,33.137,139.766,,-2700/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9928,Acatenango,Confirmed Eruption,VEI Unknown,-2710,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,14.501,-90.876,,-2710/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9929,Unzendake,Confirmed Eruption,VEI Unknown,-2720,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,32.761,130.299,,-2720/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9930,Fort Portal,Confirmed Eruption,VEI Unknown,-2750,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,0.7,30.25,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9931,Michoacan-Guanajuato,Confirmed Eruption,3.0,-2750,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.85,-101.75,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9932,Mauna Kea,Confirmed Eruption,VEI Unknown,-2750,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.82,-155.47,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9933,Rainier,Confirmed Eruption,2.0,-2750,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,46.853,-121.76,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9934,Mauna Loa,Confirmed Eruption,0.0,-2750,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.475,-155.608,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9935,Bezymianny,Confirmed Eruption,VEI Unknown,-2750,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,55.972,160.595,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9936,Sheveluch,Confirmed Eruption,3.0,-2750,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,56.653,161.36,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9937,Azumayama,Confirmed Eruption,VEI Unknown,-2750,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,37.735,140.244,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9938,Myokosan,Confirmed Eruption,4.0,-2750,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,36.891,138.114,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9939,Gorely,Confirmed Eruption,2.0,-2750,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,52.559,158.03,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9940,Hekla,Confirmed Eruption,VEI Unknown,-2750,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,63.983,-19.666,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9941,Deception Island,Confirmed Eruption,VEI Unknown,-2750,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,-63.001,-60.652,,-2750/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9942,Hualalai,Confirmed Eruption,0.0,-2770,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.692,-155.87,,-2770/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9943,"Orizaba, Pico de",Confirmed Eruption,3.0,-2780,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,19.03,-97.27,,-2780/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9944,Kikhpinych,Confirmed Eruption,4.0,-2780,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,54.489,160.251,,-2780/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9945,Davis Lake,Confirmed Eruption,VEI Unknown,-2790,1,1,Radiocarbon (uncorrected),End Year Unknown,End Month Unknown,End Day Unknown,43.57,-121.82,,-2790/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9946,Colima,Confirmed Eruption,VEI Unknown,-2800,1,1,Radiocarbon (corrected),End Year Unknown,End Month Unknown,End Day Unknown,19.514,-103.62,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
9947,Mashu,Confirmed Eruption,3.0,-2800,1,1,Tephrochronology,End Year Unknown,End Month Unknown,End Day Unknown,43.572,144.561,,-2800/1/1,End Year Unknown/End Month Unknown/End Day Unknown
